,0
165,lexical_database
166,inference
167,training_data
168,equivalence
169,deleted_interpolation
170,quantity_maxim
171,information
172,term_frequency
173,rhetorical_structure_theory
174,content_selection
175,semantic_analysis
176,target_embedding
177,query_formulation
178,lexical
179,nouns
180,mention_detection
181,rise
182,well-formed_sentences
183,supersenses
184,concatenation
185,choices_in_content
186,centauri
187,transduction_grammars
188,algorithm
189,pretraining
190,feedforward_network
191,adverbs
192,returning
193,mayan
194,features_in_taggers
195,translation_works.
196,unvoiced_sound
197,naivety
198,representations
199,prosody
200,semantic_role_labeling
201,verb_semantics
202,fold_crossvalidation
203,template_ie
204,partofspeech
205,three_components_of_glms
206,contextfree
207,hobbs_algorithm
208,fourth-order_markov_processes
209,implied_hierarchy
210,entity_linking
211,lexical_choice
212,unsupervised_word_sense
213,sentiment
214,statistical_methods
215,traces_penn
216,word_segmentation
217,slot_filling
218,centering_theory
219,parts_tagger
220,knowledge_graph_representation_learning
221,weak_strong
222,training
223,arcturan
224,definite_reference
225,hays_d
226,deep_learning
227,conjunctions
228,text_generation
229,normal_form
230,cfgs_and_pcfgs
231,interpolation_smoothing
232,probability_statistics
233,conversational_impliciture
234,winograd_schema
235,language_models
236,prepositional_phrase
237,evaluation_of_language_models
238,backprop
239,manner_maxim
240,sentence_segmentation
241,idf_term_weighting
242,sneakiness_matching
243,representing_events
244,lunar
245,tts
246,tags
247,formal_language
248,question
249,dilated_convolutions
250,regular_expressions
251,generalization_and_zeros
252,godzilla_speaker
253,transparent
254,perword_entropy
255,dative_alternation
256,japanese
257,pitch_extraction
258,relexicalize
259,acoustic_input
260,onset_syllable
261,sequence_modeling
262,function_word
263,nlp_hard
264,pronoun
265,generation
266,summarization_techniques
267,relevance
268,word_tokenization
269,eulers_formula
270,linguistic
271,word_shape
272,word_sense_disambiguation
273,news_blaster
274,verbs
275,ngrams_intuition
276,cepstrum
277,interpolated_kneserney_discounting
278,bio_tagging
279,discovery_procedure
280,constituents
281,fmeasure
282,the_noisy_channel_model_of_spelling
283,discriminative_reranking
284,absity
285,term_weight
286,telephonebandwidth
287,forward_composition
288,discourse_model
289,noncapturing_group
290,coreference_resolution
291,bayesian_inference
292,dependency_grammar
293,retrofitting
294,seed_pattern_ie
295,splithalf_reliability
296,partofspeech_ambiguity
297,mechanical_indexing
298,semantic_relations_ie
299,challenges_in_mt
300,chomskyadjunction
301,katz_backoff
302,sentence_simplification
303,substitutions
304,table_penn_treebank
305,length_of_sequence
306,semantic_similarity
307,reporting_events
308,lexicalization_of_a_treebank
309,pmi
310,relu
311,isa
312,intermediate_phrase
313,preposed_constructions
314,adjective_phrase
315,smooth_diagram_estimates
316,abduction
317,random_variables
318,frequency
319,labeled_recall
320,columbia_university
321,universal_linguistic
322,oov_vocabulary_words
323,random_variables
324,estimation_techniques
325,competition
326,weight_tying
327,range_regular_expression
328,third-order_markov
329,weaknesses_of_pcfgs
330,operator_precedence
331,multi-document
332,original_tagging
333,instance_checking
334,fixed_length_sequences
335,classbased_ngram
336,greedy_re_patterns
337,texttiling
338,wordvec
339,sentiment_analysis
340,activation
341,subcategorization
342,presequences
343,semantic_representation
344,coreference_resolution
345,german
346,head_finding
347,estimator
348,trigram_models
349,transition_probabilities
350,pos_tagging
351,typology
352,speech_recognition
353,tradeoff_analysis
354,semantic_frame
355,implicit_argument
356,type_raising
357,gender_agreement
358,cooccurrence
359,activity_expressions
360,tobi
361,frump
362,possessive_np
363,isrl
364,predeterminer
365,languages
366,weather_forecast_reports
367,principle_contrast
368,pronoun_resolution
369,speech_synthesis
370,mean_reciprocal_rank
371,nonstandard_words
372,celex
373,wide
374,coordinate_noun_phrase
375,discourse_deixis
376,pathos
377,pos
378,ibm_model
379,evaluation_of_machine_translation
380,generative_models
381,inner_ear
382,fully_qualified_normalization
383,autoregressive_generation
384,universal_language_id
385,phonetics
386,optionality_determiners
387,static_embeddings
388,delexicalization
389,perplexity
390,validation_data
391,rosebud_sled_named
392,cohesion
393,sgns
394,relative_weights
395,absolute_discounting
396,referring_expressions
397,cnf
398,captures
399,coordination
400,evaluating_parsers
401,relative_frequency
402,machine_translation_noisy_channel_methods
403,text_processing
404,condition
405,long-range_features
406,answer_extraction
407,sports
408,test_set
409,hyperparameter
410,structural_ambiguity
411,tree-to-tree_translations
412,vector
413,document_frequency
414,probability_distribution
415,normalization
416,mt_divergence
417,robust_estimates
418,search_engine
419,fosler_e_see
420,embedded_verb
421,determiner
422,ambiguity
423,computational_linguistics
424,first_order_logic_see_fol
425,blank_ctc
426,pronoun
427,problem
428,skipgram
429,neural_networks
430,representation_learning
431,postposed_constructions
432,book_titles
433,herdans_law
434,bigram_estimate
435,atn
436,conditional_random_field
437,spectrum
438,vagueness
439,krl
440,examples_of_coherence_in_text
441,minimum_edit_distance_algorithm
442,gaussian
443,linear_interpolation
444,treebank
445,backward_composition
446,latent_semantic_analysis
447,period_wave
448,wellformed_substring
449,accented_syllables
450,chart_parsing
451,coarse_senses
452,relative_entropy
453,context
454,logical_vocabulary
455,decoding_algorithm
456,discounting_methods_build_intuition
457,wavenet
458,multilayer_perceptrons
459,heaps_law
460,false_positives
461,classification
462,muc-7
463,trained
464,warping
465,subdialogue
466,feminine/masculine_agreement
467,representational_harms
468,logprobs
469,sibilant_sound
470,gram_models
471,mwe
472,feature_interactions
473,hypernym
474,translation_divergences
475,mcnemars
476,word_count
477,tay
478,parallelogram_model
479,reflexive
480,tbox
481,trace
482,lateral_sound
483,markov_chain_interpolation
484,conditional_maxent_models
485,natural_language_understanding
486,consortium
487,contextfree_grammar
488,unigram_models
489,arabic
490,timit
491,holonym
492,quantifier
493,affective
494,discriminative_model
495,early_uses
496,manner_articulation
497,texttospeech
498,entity_grid
499,functions_fol
500,citizen_kane
501,stative_expressions
502,srl
503,negative_log_likelihood_loss
504,sov_language
505,searching_inside
506,hanzi
507,synonyms
508,trachea
509,card_game
510,language_identification
511,inference_terms
512,backtranslation
513,regular_expression
514,resolution
515,observations
516,word_sense_induction
517,semantic
518,lesk
519,entropy
520,cantonese
521,lfg
522,schonfinkelization
523,coda
524,probability_of_sentences
525,fricative_sound
526,gus
527,lm
528,response_generation
529,language_modeling_problem
530,clause
531,formant_synthesis
532,squad
533,lexical_stress
534,semantic_field
535,function
536,reason_coherence
537,solve
538,wordform
539,shrdlu
540,words
541,givennew
542,superordinate
543,parameters
544,models
545,knowledge_representation
546,structure_grammar
547,entity_linking
548,cardinal_number
549,language_modelling
550,stacked_rnns
551,two-word_window
552,minibatch
553,microsoft_wav_format
554,open_class
555,learning
556,list_coherence_relation
557,text_mining
558,turing_test
559,language_of_interest
560,bigram_estimator
561,postmodifier
562,counts
563,batch_training
564,strength
565,discounting_method
566,sentence_formation
567,empty_category
568,allwords_task_wsd
569,productions_rules
570,backoff
571,discriminative
572,supervised_machine_learning
573,speech_acts
574,generalize
575,canonical_form
576,ungrammatical_sentences
577,adjunction_tag
578,mulaw
579,wizardofoz_system
580,language_model_probability_estimation
581,pitch_accent
582,hobbs_tree_search_algorithm
583,overlap
584,absolute_temporal_expression
585,syntactic_wellformed_substring
586,katz_backoff_model
587,initial_distribution
588,openai
589,modified_kneserney
590,row_vector
591,substitution_operator
592,rhetorical_structure
593,onehot_vector
594,cost_function
595,slots
596,earth
597,scoring
598,shannon
599,decomposition
600,dependency_parsing_problem
601,lexical_gap
602,definite
603,parameter_estimation_in_lexicalized_pcfgs
604,natural
605,dimensionality_reduction
606,query
607,domain
608,dialogue
609,temporal_expressions
610,switchboard_corpus
611,feature_cutoff
612,maximum_likely_estimate
613,perceptron
614,ridge
615,semantic_network
616,embedding_learning
617,brown
618,bigram_models
619,corpus
620,nonfinite_postmodifier
621,semivowel
622,improved_methods
623,power_signal
624,verb_alternations
625,speech
626,locationbased_attention
627,factoid_question
628,radio_rex
629,conditional_models
630,ngram
631,correction_act_detection
632,rapid_reprompting
633,rime_syllable
634,restrictive_relative_clause
635,sampling_process.
636,natural_language_processing
637,stem
638,antecedent
639,resolution_inference
640,anaphora
641,disfluency
642,atrans
643,incorporate_information
644,parallel_corpus
645,discourse_level
646,generative_models_for_supervised_learning
647,s_start_symbol_cfg
648,project
649,first_order_markov_process
650,summarization_evaluation
651,rescore
652,divergences_languages_mt
653,billion_words
654,synchronous_grammar
655,computational_semantics
656,case_frame
657,minimum_edit
658,bias-variance_trade-off
659,aed
660,mle
661,dropout
662,entity_recognition
663,project_tdap
664,wordincontext
665,summarizing
666,discourseold
667,pattern_recognition
668,case_folding
669,irbased_qa
670,state
671,bnf_backusnaur_form
672,statistics
673,treating_low_zero
674,anchor_texts
675,evaluation
676,broadcast_news
677,list_types
678,fog_system
679,terminology
680,yesno_questions
681,primitive_decomposition
682,decoding
683,hidden_layer_representation
684,cockekasamiyounger
685,muc_fmeasure
686,temporal_reasoning
687,language_of_interest
688,nongreedy
689,inversion_transduction
690,who's_on_first
691,fol
692,lemmatization
693,tokenization
694,newline_character
695,naive_bayes_classifier
696,spanish
697,metarule
698,graph_neural_networks
699,semantic_role
700,discounting_methods
701,cky
702,vector_space_model
703,distant_supervision
704,translation_model
705,noun-verb_agreement
706,wsd
707,discounted_counts
708,subcategorization_frame
709,punctuation_numbers
710,naive_bayes_approach
711,l_regularization
712,frequent_sense
713,anaphoric_expressions
714,predicate
715,planning
716,crossentropy_loss
717,machine_learning
718,estimation
719,product
720,stop_symbol
721,implicature
722,extended
723,classic_parsing_methods
724,entity
725,conversational_speech
726,vanishing_gradients
727,generative_vs._discriminative
728,pointwise_mutual
729,partofspeech_tagger
730,error_rate
731,sentences_test
732,marker_passing_wsd
733,text_categorization
734,range
735,joint_distribution
736,garcia
737,kullbackleibler_divergence
738,context_free_grammar
739,coder_cgc
740,multinomial_naive_bayes
741,techniques
742,wavefile_format
743,lh_pitch_accent
744,emolex
745,modified_ngram_precision
746,segmentation
747,diathesis_alternation
748,bits_measuring_entropy
749,parameters
750,basic_definitions
751,process
752,porter_stemmer
753,viterbi
754,constituent
755,minimum_error_rate
756,recall
757,mother_understands
758,clitic
759,bloom_filters
760,egyptian
761,named_entity_recognition
762,dependencies
763,accomplishment_expressions
764,quality_maxim
765,the_tagging_problem
766,sentential_complements
767,regression
768,rhyme
769,hyperarticulation
770,anaphora_problem
771,agglutinative
772,alignment
773,itg_inversion_transduction_grammar
774,trec
775,pitch_track
776,probabilities
777,grammatical_function
778,jaccard_coefficient
779,dynamic_programming
780,processing
781,fluency
782,precisionrecall_curve
783,maximum_entropy
784,estimates
785,natural_language_pausing
786,syntactic_structures
787,sparse_data_problem
788,attachment_ambiguity
789,lasso
790,relation_grammars
791,adjectives
792,digit_recognition
793,confidence
794,perplexity
795,chomsky_normal_form
796,microaveraging
797,stupid_backoff
798,log_probabilities
799,natural_language_parsing
800,markov
801,closed_class
802,wsi
803,arpabet
804,argumentative_zoning
805,machine_learning
806,syntactic_binding
807,levenshtein_distance
808,multinomial_logistic_regression
809,teacher_forcing
810,decoder
811,chatbots
812,robot_named_ggg
813,markov_independence_assumptions
814,motivation_for_glms
815,subject-verb-object
816,persuasion
817,lemma_versus_wordform
818,headdriven_phrase
819,language_modelling
820,referential_density
821,nucleus
822,count
823,invention
824,attention_mechanism
825,reading_comprehension
826,telephone_bandwidth
827,chain_rule_probabilities
828,generalization
829,softmax
830,nlp_(natural_language_processing)
831,query_processing
832,hobbs_tree_search
833,model_card
834,nasal_sound
835,noisyor
836,trigram_language_models
837,dispreferred_response
838,mrr
839,wh
840,turkish
841,word_embeddings
842,decoding_problem
843,lexicalfunctional
844,clustering
845,initial_distribution_ngram
846,cmu
847,temporal_expression
848,weak_equivalence_grammars
849,language_understanding
850,web_data
851,start_symbol
852,term_weighting
853,common_nouns
854,goodturing
855,learning_rate
856,verbframed_language
857,funny_sentences
858,interpretations
859,model
860,framenet
861,sample_conversation
862,imperative_sentence
863,ethos
864,auxiliary
865,wildcard
866,termdocument_matrix
867,register_re
868,text_normalization
869,centroid
870,dialogue_acts
871,speech_acts
872,coraal
873,words_brother
874,adjacency_pairs
875,first
876,word_normalization
877,world_knowledge
878,evaluation_of_ir
879,viterbi_algorithm_for_taggers
880,iso
881,evaluating_search_engines
882,aramaic
883,adequacy
884,recap_of_glms
885,embedding
886,markov_chain
887,ad_hoc_retrieval
888,tense_logic
889,terms
890,estimation_problem.
891,recipe
892,sentence_structure_generation
893,tree_adjoining_grammar
894,knowledge_graph_construction
895,warren_weaver
896,hyponym
897,farsi_verbframed
898,bound_pronouns
899,pronunciation_dictionary
900,use_ngrams
901,palate
902,templatebased_generation
903,semantic_grammars
904,first_order_logic
905,debiasing
906,prior_weights
907,statistical_models
908,bear_pitch_accent
909,tag
910,bootstrap
911,emotion
912,pleonastic
913,interpersonal_stance
914,sampling
915,language_id
916,ibm_models
917,contextual_effects
918,particle
919,computer_science
920,listen_attend_spell
921,rnnt
922,stop_words
923,message_understanding_conference
924,french
925,syntactic_disambiguation
926,stop
927,linearly_separable
928,dropping_denominator
929,grammar_transforms
930,connotation_frames
931,coreference_chain
932,anaphoricity_detector
933,dragon_systems
934,morphological_stemming
935,cochlea
936,intensity_sound
937,information_extraction_ie
938,answer_types
939,parameter_estimation_in_models
940,bootstrapping
941,expression_search
942,elman_networks
943,selfsupervision
944,generator
945,direct_formal_language
946,crossentropy
947,pp
948,hertz_unit_measure
949,concordance_semantic
950,nasal_tract
951,parsing_problem
952,macroaveraging
953,constative_speech_act
954,correction_ratio
955,configuration
956,directive_speech_act
957,grammaticality
958,arc_standard
959,telic_eventualities
960,prolog
961,locative
962,unigram
963,synset
964,inference_fol
965,bilingual_evaluation_understudy
966,grammar_lfg
967,denotation
968,labiodental_consonants
969,trigram_estimator
970,articulatory
971,constants_fol
972,expressions
973,linguistic_data
974,formant
975,spam_detection
976,general_inquirer
977,ontology
978,prior_probability
979,parseval
980,transformations
981,preposing
982,lexical_answer_type
983,history
984,constituency_parser_evaluation
985,scripts
986,timebank
987,backoff_estimate
988,viterbi_inference
989,comparing_models
990,penn_discourse_treebank
991,case
992,dog
993,typed_dependency_structure
994,chain_rule_of_probabilities
995,entitybased
996,free_word_order
997,linguistic_discourse_model
998,harmonic
999,discounted_count
1000,samples
1001,notation
1002,markov_processes
1003,variables_fol
1004,speech_recognition
1005,bound_pronoun
1006,input_hidden_units
1007,encoderdecoder
1008,product_of_expressions
1009,database
1010,fast_fourier_transform
1011,administrative
1012,rhyme_syllable
1013,nonterminal_symbol
1014,antonym
1015,phrasebased_translation
1016,parsing
1017,disjunction
1018,modern
1019,aggregating_facts
1020,hidden_markov_models
1021,theory_see_rst
1022,complement
1023,kiel_german
1024,parallel_distributed
1025,intrinsic_evaluation
1026,sentence
1027,plosive_sound
1028,inverse_document_frequency_weighting
1029,feature_templates
1030,word_sense
1031,implicit_confirmation
1032,word_order
1033,bitext
1034,approximate
1035,embeddings
1036,fastus
1037,duration
1038,bestworst_scaling
1039,templatebased
1040,text_representation
1041,lstm
1042,modal_verb
1043,potts_diagram
1044,weighted_average
1045,modeling
1046,rst
1047,stop_symbol
1048,klone
1049,selfattention
1050,past_discourse
1051,maximum_likelihood_estimates
1052,glms_for_parse_reranking
1053,atis
1054,cycles_wave
1055,take_first_sense
1056,diphthong
1057,vocabulary_(set_v)
1058,pullum_g_k
1059,mos_mean_opinion_score
1060,alternative_parsing_formalisms
1061,greedy_parsing
1062,affect
1063,bdi
1064,state_transition_probabilities
1065,lexicosyntactic_pattern
1066,amplitude
1067,acoustic_level
1068,bias_amplification
1069,emission_probabilities
1070,grounding
1071,cluster
1072,longdistance_dependency
1073,convex
1074,componential_analysis
1075,generative_inversion_transduction
1076,idf
1077,ridge_regression
1078,feature_extraction
1079,natural_questions
1080,question_factoid
1081,lesk_algorithm
1082,wfst
1083,cycles_per_second
1084,information_theory
1085,relative_pronoun
1086,set_of_possible_sentences
1087,rejection
1088,sentence_tokenization
1089,politics
1090,bayes_rule
1091,rate
1092,entity_dictionary
1093,montague_semantics
1094,meaning_representation
1095,praat
1096,association
1097,voon
1098,wic
1099,tf-idf
1100,functional_grammar
1101,ambiguity
1102,mandarin
1103,expressiveness_functions
1104,knowledge_graph_embedding
1105,constituency
1106,direct_derivation
1107,open_vocabulary_system
1108,proper_noun
1109,nist_mt_evaluation
1110,immediately_dominates
1111,pipe
1112,likelihood_estimation
1113,algol
1114,unix
1115,mesh_medical_subject_headings
1116,datasheet
1117,formal_definition
1118,linguistics
1119,vector_space
1120,language_model_effectiveness
1121,personal_pronoun
1122,continuation_rise
1123,ranked_retrieval
1124,whnonsubjectquestion
1125,accessing
1126,jay_john
1127,waveforms
1128,ptrans
1129,pseudowords
1130,backwardlooking_center
1131,estimating_probabilities
1132,intransitive_verbs
1133,parsing
1134,mathematical_computational_models
1135,selectional_restriction
1136,hmm
1137,discourse_connectives
1138,multiword_expressions
1139,srilm
1140,english
1141,conjoined_phrase
1142,text_generation
1143,heldout
1144,prepositions
1145,long_shortterm_memory
1146,saturated
1147,subsumption
1148,elmo
1149,natural_way
1150,rewrite
1151,estimation_methods
1152,dbpedia
1153,tagsets
1154,filler
1155,postings
1156,naive_bayes
1157,bernoulli_naive_bayes
1158,phrasal_verb
1159,cataphora
1160,re
1161,conditioning
1162,sigmoid
1163,moses_mt_toolkit
1164,shallow_parse
1165,alveolar_sound
1166,exponential_problem_in_parsing
1167,ambiguity_avoidance
1168,low_frame_rate
1169,maximum_likelihood_estimate
1170,hz_unit_measure
1171,kaldi
1172,whquestions
1173,introduction
1174,ipa
1175,tap_phonetic
1176,effect_size
1177,overfitting
1178,completeness_fol
1179,unigram_count
1180,relative
1181,second_step
1182,chomsky
1183,logical_connectives
1184,language_model
1185,logistic_regression
1186,construction
1187,relatedness
1188,grep
1189,part_speech
1190,rms_amplitude
1191,probabilistic_model
1192,violations_wsd
1193,example_sentences
1194,timealigned
1195,cfg
1196,gerundive_postmodifier
1197,generative_lexicon
1198,structure_hpsg
1199,part-of-speech_tagging
1200,truthconditional_semantics
1201,relation_extraction
1202,referring_expressions
1203,korean
1204,ibm_models
1205,palatoalveolar_sound
1206,lexical_cohesion
1207,discoursenew
1208,tagset
1209,supervised_relation_extraction
1210,symbol
1211,linear_classifiers
1212,streaming
1213,berkeley_restaurant
1214,smoothing
1215,tokens_word
1216,distance
1217,sentiment_lexicons
1218,stemming
1219,endtoend_training
1220,turk_mechanical
1221,basic_techniques
1222,conditioned
1223,knowledge_cutoff
1224,understanding
1225,text_classification
1226,fullyconnected
1227,morphological_analysis
1228,powerful_model
1229,classification
1230,semantic_networks
1231,dependency
1232,timealigned_transcription
1233,representing_trees
1234,evalb
1235,first_order_markov_process
1236,verb_phrase
1237,representing_and_understanding_meaning
1238,nlp
1239,candide
1240,wordnet
1241,det
1242,abbott_and_costello_skit
1243,document_conditioning
1244,anaphora
1245,grammaticality
1246,discourse_analysis
1247,pseudoword
1248,augmentative
1249,distributions
1250,reduced_vowels
1251,crfs
1252,used_cfg
1253,gpt-3.5_architecture
1254,forget_gate
1255,training_sample
1256,sequence
1257,closure_stop
1258,minimum_edit_distance
1259,laplace_smoothing
1260,speaker_identification
1261,marx_g
1262,assumption
1263,oov
1264,gilbert_sullivan
1265,mlp
1266,reversives
1267,partial_parsing
1268,previous
1269,vocabulary_size
1270,restrictive_grammar
1271,klatt_formant_synthesizer
1272,locative_adverb
1273,machine_translation
1274,selectional_association
1275,accessible
1276,chime
1277,arc_eager
1278,vanishing_gradient
1279,modulation
1280,distribution
1281,metonymy
1282,file_format_wav
1283,search_tree
1284,edgefactored
1285,rolefiller_extraction
1286,translation_issues
1287,postdeterminer
1288,counters
1289,phonotactics
1290,allen_relations
1291,pattern_regular_expression
1292,multihead_selfattention_layers
1293,ranking
1294,palatal_sound
1295,laplace
1296,probability
1297,communication
1298,parse_tree
1299,combinatory_categorial
1300,diff_program
1301,cascade
1302,protoagent
1303,prominent_word
1304,research_center
1305,kevin_knight
1306,topic_models
1307,nyquist_frequency
1308,training_set
1309,resource_management
1310,glms_for_dependency_parsing
1311,dialogue_systems
1312,document_vector
1313,google_translate
1314,shallow_discourse_parsing
1315,variables
1316,paired
1317,description_logics
1318,vector_length
1319,engineering_achievement
1320,sourcefilter_model
1321,hamilton_alexander
1322,content_planning
1323,fusion_language
1324,bellcore
1325,labeled_precision
1326,forwardlooking_centers
1327,discourse_analysis
1328,barks
1329,freebaseqa
1330,manner_adverb
1331,syntactic_correctness
1332,machine_translation
1333,salience_discourse
1334,selectional_restrictions
1335,sequence_labeling
1336,syntax
1337,derived
1338,whphrase
1339,hebrew
1340,opaque
1341,chirpy_cardinal
1342,zerowidth
1343,vocabulary
1344,lexical_distinctions
1345,collocation
1346,lexical_semantics
1347,cold_languages
1348,rime
1349,hkust
1350,natural_language_applications.
1351,distributional_similarity
1352,microplanner
1353,information_theory
1354,second-order_markov
1355,muc
1356,subcategorize
1357,vauquois_triangle
1358,place_articulation
1359,vowel
1360,fairly
1361,prominence_phonetic
1362,acknowledgment_speech
1363,factoid_questions
1364,glosses
1365,tacotron
1366,log_speech
1367,semantic_feature
1368,spelling_correction
1369,mass_nouns
1370,binary_branching
1371,manhattan_distance
1372,role_viterbi
1373,binary_nb
1374,pvalue
1375,minimum_cost
1376,transitive_verbs
1377,homonymy
1378,copula
1379,vectors_semantics
1380,national_institute_of_standards_and_technology
1381,discrete_fourier_transform
1382,generative
1383,lsi
1384,the_pirates_penzance
1385,intent_determination
1386,genitive_np
1387,noisy_channel
1388,conversational_implicature
1389,plural
1390,hpsg
1391,lambda
1392,second-order_markov_assumption
1393,categorial
1394,biograms
1395,disambiguation
1396,glottal
1397,phone
1398,frames
1399,transcription
1400,lexicon
1401,open_information_extraction
1402,encoder
1403,final_fall
1404,joint_intention
1405,adverb
1406,statistics
1407,lob_corpus
1408,interpretable
1409,context_embedding
1410,pitch
1411,vocabulary
1412,linear_chain_crf
1413,experiments_with_glms
1414,declarative_sentence
1415,mae
1416,passage_retrieval
1417,acuteeval
1418,endpointing
1419,subjectivity
1420,federalist_papers
1421,mert_training_mt
1422,zero_anaphor
1423,automatic_systems
1424,conditional_probability
1425,vocabulary_size
1426,semantic_role_labeling
1427,part_of_speech_tagging
1428,information_extraction
1429,structured_data
1430,sequence_models_for_pos_tagging
1431,discourse_structure
1432,independent
1433,named_entity
1434,librispeech
1435,supertagging
1436,larynx
1437,crowdsourcing
1438,representational_harm
1439,unk
1440,statistical_machine_translation
1441,grammars
1442,square_braces_regular_expression
1443,syllabification
1444,hearst_patterns
1445,loss
1446,syntactic_structures
1447,discourse_level
1448,dependency_tree
1449,named_entity
1450,characters
1451,arpa
1452,ccg
1453,background
1454,knowledge_graph_embeddings
1455,sight
1456,method
1457,rarefaction
1458,coherence
1459,state_of_the_art_systems
1460,aristotle
1461,nonstationary_process
1462,discourse_segment
1463,sentiment_analysis
1464,knowledge_claim
1465,noun
1466,retrieve_read
1467,weak_equivalence
1468,generative_grammar
1469,temporal_anchor
1470,bioes
1471,unigram_estimate
1472,generative_model
1473,accessing_referent
1474,probability
1475,effectiveness_of_language_models
1476,hot_languages
1477,spelling_correction_task
1478,binary_tree
1479,used_clustering
1480,spanish
1481,sclite
1482,dependency_parsing
1483,time_representation
1484,bytepair_encoding
1485,precedence_operator
1486,semantic_synonymy
1487,statistical_parsing
1488,bagofwords
1489,indefinite_article
1490,decision_boundary
1491,lambda_notation
1492,bracketed_notation
1493,orthography
1494,termterm_matrix
1495,use_regular_expressions
1496,log_odds_ratio
1497,dependency_parsing
1498,contextfree_sample
1499,wikification
1500,list
1501,bayesian_theorem
1502,null_hypothesis
1503,dialogue_manager_design
1504,bert
1505,markov_chain_generators
1506,syntactic_constituency
1507,lexicosyntactic_patterns
1508,hindi
1509,crossbrackets
1510,aac
1511,english
1512,nlp_pipeline
1513,temporal_normalization
1514,code_switching
1515,noisy_channel_methods
1516,knowledge_graph_completion
1517,singular
1518,application
1519,temporal
1520,argumentation_schemes
1521,abox
1522,release_stop
1523,antecedent
1524,resolution_tag
1525,person_agreement
1526,naclo
1527,abstract_word
1528,callhome
1529,likelihood
1530,cosine
1531,nonterminal_symbols
1532,argumentation_mining
1533,reduction_phonetic
1534,act
1535,dynamic_time_warping
1536,grammar_itg
1537,natural_language_understanding
1538,productions
1539,hyperparameters
1540,natural_language_processing
1541,knowledge_graphs
1542,feature_interaction
1543,sentiwordnet
1544,prepositional_phrase_attachment
1545,interpretation
1546,relation
1547,toxicity_detection
1548,fft
1549,fuf_and_surge_systems
1550,inference_crf
1551,collection_ir
1552,stationary_process
1553,inverted_index
1554,seed_tuples
1555,significance_test
1556,thematic_role
1557,agent_thematic_role
1558,verbframed
1559,indefinite_reference
1560,statistical_pos_tagging
1561,bakeoff
1562,nominal
1563,backtrace
1564,vocoding
1565,nbest_list
1566,text_clustering
1567,fundamental_frequency
1568,critical
1569,ppmi
1570,analog_waveform
1571,lowresourced_languages
1572,postposition
1573,feature_selection
1574,evoking
1575,n-gram_models
1576,confusion_matrix
1577,unigram
1578,backusnaur_form
1579,interjection
