,head,variable,value
63,Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52,prerequisite,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38
64,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1426
65,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi771
66,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2056
67,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,prerequisite,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00
68,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi361
69,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,prerequisite,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16
70,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi452
71,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1073
72,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1874
73,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi335
74,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_6
75,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,prerequisite,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15
76,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,prerequisite,Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49
77,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1785
78,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48,prerequisite,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11
79,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1670
80,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,level,level_1
81,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1073
82,Course2_W3-S1-L1_What_is_Text_Classification_8-12,prerequisite,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10
83,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,level,level_1
84,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi582
85,Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55,level,level_2
86,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,level,level_3
87,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,level,level_2
88,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,prerequisite,Course2_W4-S1-L1_Generative_vs
89,Course2_W6-S1-L4_CKY_Example_21-52,level,level_3
90,Course1_W5-S1-L1_Opening_Comments_0-25,level,level_1
91,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1786
92,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,prerequisite,Course1_W10-S2-L1_Introduction_0-37
93,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1921
94,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi806
95,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1139
96,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1477
97,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1183
98,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1638
99,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1423
100,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,level,level_3
101,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,level,level_3
102,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,level,level_3
103,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,level,level_1
104,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1410
105,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi361
106,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,level,level_1
107,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,prerequisite,Course2_W7-S1-L5_Phrase_Queries_and_Positional_Indexes_19-45
108,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1522
109,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,prerequisite,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22
110,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi944
111,Course2_W8-S2-L1_What_is_Question_Answering_7-28,level,level_3
112,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi835
113,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1426
114,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi872
115,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi124
116,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1522
117,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi874
118,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,prerequisite,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50
119,Course1_W10-S2-L1_Introduction_0-37,prerequisite,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00
120,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_10
121,Course3_W10-S1-L6_-_Information_Retrieval_Toolkits_-_8_slides_02-38,level,level_2
122,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,prerequisite,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05
123,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1991
124,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi466
125,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi568
126,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,prerequisite,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11
127,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1410
128,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,prerequisite,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45
129,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,level,level_3
130,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi765
131,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1059
132,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1203
133,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_10
134,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi771
135,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,prerequisite,Course1_W9-S2-L1_Introduction_0-30
136,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi702
137,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,prerequisite,Course1_W5-S1-L3_Challenges_in_MT_8-06
138,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,prerequisite,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22
139,Course1_W4-S2-L1_Introduction_00-17,level,level_1
140,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,prerequisite,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56
141,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi103
142,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,level,level_1
143,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,prerequisite,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22
144,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,level,level_3
145,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,level,level_2
146,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,level,level_3
147,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,prerequisite,Course1_W1-S2-L5_Trigram_Language_Models_9-40
148,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi63
149,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi805
150,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,level,level_2
151,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi765
152,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_12
153,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi295
154,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1921
155,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,prerequisite,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13
156,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,prerequisite,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47
157,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,prerequisite,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01
158,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi534
159,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi874
160,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,prerequisite,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18
161,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi566
162,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,level,level_2
163,Course2_W7-S1-L5_Phrase_Queries_and_Positional_Indexes_19-45,prerequisite,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43
164,Course1_W1-S3-L5_Summary_2-31,prerequisite,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34
165,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi335
166,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,level,level_2
167,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,prerequisite,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11
168,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi2034
169,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi19
170,Course1_W2-S1-L1_The_Tagging_Problem_10-01,level,level_1
171,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi724
172,Course2_W7-S1-L5_Phrase_Queries_and_Positional_Indexes_19-45,level,level_3
173,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi63
174,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,level,level_1
175,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi566
176,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1426
177,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1141
178,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,prerequisite,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21
179,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi124
180,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,prerequisite,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43
181,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,level,level_3
182,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,prerequisite,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45
183,Course2_W1-S2-L3_Word_Tokenization_14-26,prerequisite,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04
184,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1129
185,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,level,level_1
186,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi776
187,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,prerequisite,Course1_W2-S1-L8_Summary_1-50
188,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi605
189,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,level,level_2
190,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2053
191,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi173
192,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi108
193,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi582
194,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,level,level_1
195,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi771
196,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,prerequisite,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15
197,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,level,level_3
198,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1630
199,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi806
200,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,level,level_3
201,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,prerequisite,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16
202,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,level,level_1
203,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,level,level_3
204,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,prerequisite,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03
205,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,level,level_3
206,Course1_W2-S1-L8_Summary_1-50,prerequisite,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33
207,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi582
208,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,level,level_3
209,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,level,level_3
210,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,level,level_2
211,Course1_W3-S1-L1_Introduction_0-28,level,level_1
212,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi787
213,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,prerequisite,Course2_W8-S2-L1_What_is_Question_Answering_7-28
214,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi108
215,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi78
216,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2066
217,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi702
218,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1630
219,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi476
220,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,prerequisite,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05
221,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,prerequisite,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48
222,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi294
223,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,prerequisite,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32
224,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi568
225,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1522
226,Course1_W9-S1-L1_Introduction_0-36,prerequisite,Course1_W8-S2-L6_Summary_1-12
227,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1811
228,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,level,level_1
229,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1921
230,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi831
231,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,level,level_1
232,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi495
233,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi127
234,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,level,level_2
235,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1046
236,Course1_W9-S2-L7_Summary_3-01,prerequisite,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11
237,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21,level,level_2
238,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2011
239,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1642
240,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi159
241,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,topic_14
242,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,prerequisite,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52
243,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,prerequisite,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49
244,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,prerequisite,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36
245,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,prerequisite,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11
246,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,level,level_3
247,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,prerequisite,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28
248,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1133
249,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1466
250,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi63
251,Course2_W1-S1-L1_Course_Introduction_14-11,level,level_3
252,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,level,level_3
253,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,prerequisite,Course3_W1-S1-L6_-_Background_-_11_slides_16-55
254,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,level,level_3
255,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi874
256,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1423
257,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,prerequisite,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47
258,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,level,level_3
259,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi97
