,head,variable,value
7811,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,prerequisite,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56
7839,Course1_W5-S1-L3_Challenges_in_MT_8-06,level,level_1
7052,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16,level,level_3
7804,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,prerequisite,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18
7412,Course2_W6-S2-L2_Charniaks_Model_18-23,level,level_3
7758,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,prerequisite,Course1_W5-S2-L1_Introduction_3-24
7177,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,concept_vocab_index,vi1842
7571,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,prerequisite,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06
7855,Course2_W1-S2-L3_Word_Tokenization_14-26,level,level_3
7856,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,level,level_3
7813,Course1_W1-S3-L5_Summary_2-31,prerequisite,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34
7823,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,level,level_1
7522,Course2_W1-S1-L1_Course_Introduction_14-11,level,level_3
7842,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,level,level_2
7796,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,prerequisite,Course1_W5-S1-L3_Challenges_in_MT_8-06
7656,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,level,level_1
7852,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,prerequisite,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20
7407,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,level,level_1
7634,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,level,level_2
7689,Course1_W7-S1-L2_Two_Example_Problems_11-19,prerequisite,Course1_W7-S1-L1_Introduction_0-47
7637,Course2_W6-S1-L2_Grammar_Transforms_12-05,prerequisite,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29
7282,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,level,level_2
7210,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,level,level_3
7853,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,prerequisite,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56
7768,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,prerequisite,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08
7614,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,level,level_1
7594,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,level,level_2
7523,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,level,level_3
7603,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,prerequisite,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01
7617,Course2_W8-S3-L4_Summarizing_Multiple_Documents,level,level_3
7114,Course1_W2-S1-L8_Summary_1-50,level,level_1
7826,Course2_W2-S1-L6_Interpolation_10-25,prerequisite,Course2_W2-S1-L5_Smoothing-_Add-One_6-30
7719,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,prerequisite,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45
7566,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,level,level_3
7684,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,prerequisite,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22
7836,Course1_W8-S1-L7_An_Example_Application_9-28,prerequisite,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37
7809,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,prerequisite,Course1_W4-S2-L1_Introduction_00-17
6588,Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,level,level_3
7687,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,concept_vocab_index,vi1407
7416,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,level,level_2
7336,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,prerequisite,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22
7830,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,prerequisite,Course1_W3-S2-L1_Introduction_1-12
7805,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,prerequisite,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02
7421,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,prerequisite,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30
7104,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17,level,level_3
7452,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,level,level_1
7604,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,level,level_3
7694,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi142
7445,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,prerequisite,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38
7722,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,prerequisite,Course1_W6-S1-L1_Introduction_0-41
7490,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,prerequisite,Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36
7729,Course2_W2-S1-L4_Generalization_and_Zeros_5-15,l_text_topics,topic_2
7591,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,concept_vocab_index,vi129
7844,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,level,level_2
7357,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,prerequisite,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18
7651,Course2_W2-S2-L2_The_Noisy_Channel_Model_of_Spelling_19-30,prerequisite,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39
7746,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,prerequisite,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28
7644,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,level,level_1
7451,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,level,level_2
7825,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,level,level_3
7556,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,prerequisite,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31
7724,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,level,level_2
7027,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,prerequisite,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47
7834,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,level,level_2
7664,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,level,level_2
7549,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,level,level_1
7620,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,level,level_3
6608,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,prerequisite,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14
7769,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,level,level_3
4767,Course1_W5-S1-L1_Opening_Comments_0-25,prerequisite,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28
6077,Course1_W3-S1-L1_Introduction_0-28,level,level_1
7848,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi1947
7370,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,level,level_2
7055,Course2_W1-S2-L5_Sentence_Segmentation_5-31,prerequisite,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47
6733,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,level,level_2
7518,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,level,level_2
7733,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,prerequisite,Course2_W7-S2-L5_TF-IDF_Weighting_3-42
7808,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,prerequisite,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49
6883,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,prerequisite,Course1_W2-S1-L8_Summary_1-50
7190,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,prerequisite,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47
7247,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,level,level_1
7776,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,level,level_3
7730,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,prerequisite,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56
7739,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,level,level_3
7816,Course2_W8-S3-L1_Introduction_to_Summarization,prerequisite,Course2_W8-S2-L5_Advanced-_Answering_Complex_Questions_4-52
7646,Course1_W5-S2-L9_Summary_1-48,prerequisite,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52
7716,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,level,level_2
7102,Course2_W8-S3-L2_Generating_Snippets,level,level_3
7017,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,level,level_2
7819,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,prerequisite,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02
7599,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,concept_vocab_index,vi1926
7756,Course2_W1-S3-L2_Computing_Minimum_Edit_Distance_5-54,prerequisite,Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04
7519,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,prerequisite,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00
7849,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,prerequisite,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41
7440,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,level,level_2
7362,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,level,level_1
7500,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,level,level_3
7243,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,prerequisite,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02
7658,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,prerequisite,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05
7596,Course1_W2-S1-L1_The_Tagging_Problem_10-01,level,level_1
7678,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02,level,level_2
7702,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,level,level_3
7623,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,level,level_2
7814,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,level,level_1
7700,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,level,level_2
7377,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,level,level_1
7191,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,level,level_1
7831,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,prerequisite,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35
6765,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,level,level_2
6791,Course1_W8-S2-L6_Summary_1-12,level,level_1
7060,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,level,level_1
7829,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,level,level_1
7162,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,prerequisite,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59
7741,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,prerequisite,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48
7736,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,level,level_1
7832,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,prerequisite,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16
7837,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,concept_vocab_index,vi1893
7641,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,prerequisite,Course1_W1-S1-L2_Introduction_Part_2_10-28
7764,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,level,level_2
7818,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,prerequisite,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35
7795,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31,level,level_1
7385,Course2_W3-S1-L5_Naive_Bayes-_Relationship_to_Language_Modeling_4-35,prerequisite,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22
7833,Course1_W1-S1-L2_Introduction_Part_2_10-28,level,level_1
7807,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,level,level_1
7797,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,prerequisite,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21
7356,Course3_W1-S1-L3_-_Funny_Sentences_-_10_slides_06-35,prerequisite,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52
7728,Course2_W1-S2-L1_Regular_Expressions_11-25,level,level_3
7737,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,prerequisite,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38
7744,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,prerequisite,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23
7422,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,level,level_3
7494,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,concept_vocab_index,vi335
7847,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,prerequisite,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37
7742,Course1_W8-S1-L8_Summary_2-45,level,level_1
7652,Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55,prerequisite,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22
7850,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,level,level_3
7541,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,level,level_3
7260,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,prerequisite,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57
7585,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,prerequisite,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04
7365,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,prerequisite,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32
7771,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,level,level_1
7573,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,level,level_1
7759,Course1_W8-S1-L1_Introduction_1-41,level,level_1
7509,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21,level,level_2
7846,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,level,level_1
7799,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,level,level_3
7766,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,level,level_3
7752,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,level,level_1
7792,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,prerequisite,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25
7773,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,prerequisite,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51
7148,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,level,level_1
7774,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,prerequisite,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50
7798,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,level,level_1
7747,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,prerequisite,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32
7624,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,level,level_1
7800,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,prerequisite,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55
6472,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31,concept_vocab_index,vi388
6249,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,prerequisite,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11
7838,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,prerequisite,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47
7793,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37,prerequisite,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28
7505,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,level,level_3
7597,Course2_W4-S1-L1_Generative_vs,prerequisite,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56
7835,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,prerequisite,start
7650,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,level,level_3
7583,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,level,level_2
6526,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,level,level_3
7248,Course1_W1-S1-L1_Introduction_Part_1_11-17,level,level_1
7763,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,level,level_2
7073,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,prerequisite,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17
7481,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,prerequisite,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59
7788,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,prerequisite,Course1_W10-S2-L1_Introduction_0-37
6863,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,prerequisite,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03
7376,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,level,level_2
6915,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,prerequisite,Course1_W5-S2-L4_IBM_Model_2_11-27
7701,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,prerequisite,Course2_W8-S2-L1_What_is_Question_Answering_7-28
7843,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,prerequisite,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26
7466,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,prerequisite,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26
6857,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,prerequisite,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28
7755,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,l_text_topics,topic_3
7845,Course1_W1-S2-L5_Trigram_Language_Models_9-40,level,level_1
7761,Course2_W3-S1-L6_Multinomial_Naive_Bayes-_A_Worked_Example_8-58,level,level_3
7713,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,prerequisite,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17
7772,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,level,level_2
7751,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,prerequisite,Course1_W9-S2-L1_Introduction_0-30
7824,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,level,level_1
7812,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_8
6946,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,level,level_3
7734,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,concept_vocab_index,vi1424
7754,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,level,level_3
7735,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,prerequisite,Course2_W3-S1-L2_Naive_Bayes_3-19
7294,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,prerequisite,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28
7738,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi1807
7760,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,level,level_1
7732,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,prerequisite,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54
7044,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,level,level_3
7783,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,level,level_3
7598,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,prerequisite,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08
7592,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,prerequisite,Course2_W7-S1-L5_Phrase_Queries_and_Positional_Indexes_19-45
7577,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,level,level_2
7695,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,prerequisite,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55
7172,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45,prerequisite,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18
7665,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,prerequisite,Course2_W6-S1-L4_CKY_Example_21-52
7806,Course2_W8-S2-L5_Advanced-_Answering_Complex_Questions_4-52,prerequisite,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25
7216,Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04,concept_vocab_index,vi1018
7858,Course1_W6-S1-L1_Introduction_0-41,level,level_1
7287,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,prerequisite,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37
7688,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,level,level_2
7662,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,prerequisite,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16
7337,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,prerequisite,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39
7390,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,level,level_3
7696,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1003
7781,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,level,level_2
7703,Course2_W3-S1-L1_What_is_Text_Classification_8-12,level,level_3
7139,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,prerequisite,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38
7675,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi52
7668,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,level,level_3
7083,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,prerequisite,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00
