,head,variable,value,prob
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1890,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1089,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1530,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi211,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1624,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1223,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1113,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi397,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1733,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi11,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi204,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi784,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1243,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1929,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1245,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi762,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1887,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi245,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1313,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi43,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi827,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi15,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1063,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi2049,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi849,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi635,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1606,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1040,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1126,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi332,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1164,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1199,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi617,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi891,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1672,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi2002,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1300,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi275,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi233,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi746,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1436,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi191,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi25,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1121,0.18
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi108,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1421,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi197,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi86,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1904,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1890,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1089,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi2058,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1694,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi784,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1243,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1530,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi2027,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1805,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi211,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi43,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi11,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi630,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1570,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi849,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi827,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1436,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi737,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi201,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1877,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi15,0.06
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi746,0.06
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1126,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi93,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1421,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi635,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi201,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1748,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi737,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1877,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi108,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1009,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi102,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi481,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi739,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi981,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1774,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi204,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi197,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi86,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1089,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1416,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1242,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi332,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1929,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi406,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi827,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi726,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1373,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1530,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1606,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi25,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1974,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi954,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi48,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi11,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2025,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1690,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi784,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi849,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi211,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1805,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1121,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1733,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi746,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1245,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi15,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi233,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1355,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1890,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1243,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1970,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1562,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi252,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2058,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi2036,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi828,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi771,0.03
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1040,0.03
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi903,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1421,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1694,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi108,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1691,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi15,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi11,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1530,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi784,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1890,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi849,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi771,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1672,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi635,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi283,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1570,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1436,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi137,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi619,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi930,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi981,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi233,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi746,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi204,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi143,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi139,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1970,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1851,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1242,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi347,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi928,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi86,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi456,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi422,0.02
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi205,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi771,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi289,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1851,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1672,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi11,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1691,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi15,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi928,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi619,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi233,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi746,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi143,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi903,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi204,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi456,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1595,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi254,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1245,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi2058,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi43,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1436,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1421,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1805,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi211,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi630,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi2027,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1570,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1970,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi108,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1877,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1519,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi25,0.02
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1416,0.02
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1421,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1694,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi597,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1416,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi289,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1570,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1970,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi784,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1050,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi25,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi205,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi11,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1691,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi15,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1672,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1436,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi211,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi630,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi746,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi2058,0.14
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi619,0.14
